"","대분류","중분류","세분류","면적","비고","Univ_SGG1","Univ_SGG2","Univ_Name","AreaFactor","DensityFactor","CapacityFactor","Units","용량(kW)","연간발전량(kWh)"
"63","건물","경사",NA,1120.84067236999,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",56.0420336184995,63477.0181345986
"64","주차장","노외",NA,60.9759494349,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",3.048797471745,3453.27533472647
"65","건물","평면",NA,188.220060652999,NA,"동두천시","평화로","동양대학교",24.14,6.6,0.1293,"ratio",6.88429130933848,7797.6164687658
"66","건물","평면",NA,1123.47537147,NA,"부천시","신흥로","부천대학교",24.14,6.6,0.1363,"ratio",41.0919628292209,49063.3105145358
"67","건물","평면",NA,911.731304352,NA,"부천시","신흥로","부천대학교",24.14,6.6,0.1363,"ratio",33.347263162208,39816.2320485184
"68","기타시설물","야외공연장",NA,625.289915775,NA,"부천시","신흥로","부천대학교",50,10,0.1363,"ratio",31.26449578875,37329.432797818
"69","주차장","노외",NA,502.682289529999,NA,"부천시","신흥로","부천대학교",50,10,0.1363,"ratio",25.1341144765,30009.8310755672
"70","주차장","노외",NA,203.751716041999,NA,"부천시","신흥로","부천대학교",50,10,0.1363,"ratio",10.1875858021,12163.8551966777
"71","주차장","노외",NA,211.579257907999,NA,"부천시","신흥로","부천대학교",50,10,0.1363,"ratio",10.5789628954,12631.1547495528
"72","주차장","노외",NA,45.7517388545999,NA,"부천시","신흥로","부천대학교",50,10,0.1363,"ratio",2.28758694273,2731.3513585763
"73","건물","평면",NA,933.791914688,NA,"부천시","신흥로","부천대학교",24.14,6.6,0.1363,"ratio",34.1541466978308,40779.6413074496
"74","건물","평면",NA,954.889224558,NA,"부천시","신흥로","부천대학교",24.14,6.6,0.1363,"ratio",34.9257967891365,41700.9822566676
"75","건물","복합",NA,742.972122645,NA,"부천시","신흥로","부천대학교",16.47,6.6,0.1363,"ratio",18.5405316060048,22137.1722511904
"76","건물","복합",NA,1001.96885346999,NA,"부천시","신흥로","부천대학교",16.47,6.6,0.1363,"ratio",25.0036772979557,29854.0906496315
"77","건물","평면",NA,2193.90847531,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",80.2438645363385,95810.2113300137
"78","건물","평면",NA,474.560964458999,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",17.3574267909701,20724.5592992968
"79","건물","평면",NA,860.80111749,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",31.4844529942555,37592.0590617051
"80","건물","평면",NA,2651.06236041,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",96.9646142125718,115774.58579444
"81","건물","평면",NA,160.964418042,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",5.88739553262709,7029.47961721036
"82","건물","평면",NA,738.410213773,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",27.0079129704246,32247.1239917313
"83","건물","평면",NA,583.429806672,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",21.3393871713062,25478.9722098935
"84","건물","경사",NA,506.220264116999,NA,"부천시","호현로","서울신학대학교",33,6.6,0.1363,"ratio",25.3110132058499,30221.0460356264
"85","건물","평면",NA,442.917235532,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",16.2000334329432,19342.6455185329
"86","주차장","노외",NA,207.671954142,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",10.3835977071,12397.8910591049
"87","주차장","노외",NA,336.044629993,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",16.80223149965,20061.6627838041
"88","주차장","노외",NA,45.9112737454,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",2.29556368727,2740.87549583613
"89","주차장","노외",NA,120.971781648,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",6.0485890824,7221.94278131661
"90","주차장","노외",NA,65.5964087656,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",3.27982043828,3916.06624546106
"91","주차장","노외",NA,215.471076519,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",10.77355382595,12863.4939855384
"92","주차장","노외",NA,152.438959933,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",7.62194799665,9100.51444462414
"93","주차장","노외",NA,89.5217302702999,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",4.476086513515,5344.39358409874
"94","주차장","노외",NA,65.3969865332999,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",3.26984932666499,3904.16085784608
"95","주차장","노외",NA,91.5308815873,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",4.576544079365,5464.33871223286
"96","주차장","노외",NA,82.1486257002,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",4.10743128501,4904.22366512652
"97","주차장","노외",NA,118.775118637,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",5.93875593185,7090.80331755772
"98","건물","평면",NA,876.530800615999,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",32.0597780710155,38278.9902994556
"99","건물","경사",NA,428.198103184999,NA,"부천시","호현로","서울신학대학교",33,6.6,0.1363,"ratio",21.40990515925,25563.1698412825
"100","주차장","노외",NA,99.6729672523999,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",4.98364836261999,5950.41634118792
"101","주차장","노외",NA,72.512523126,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",3.6256261563,4328.95412310832
"102","주차장","노외",NA,16.7177308077,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",0.835886540385,998.038498581206
"103","주차장","노외",NA,36.0978709339999,NA,"부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",1.8048935467,2155.02123603723
"104","건물","경사",NA,247.590874543,NA,"부천시","호현로","서울신학대학교",33,6.6,0.1363,"ratio",12.37954372715,14781.0266556924
"105","건물","평면",NA,117.079461358,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",4.28226999573049,5112.97898766225
"106","건물","평면",NA,548.753292449,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",20.0710673935134,23964.6136150463
"107","건물","평면",NA,54.6598058995,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",1.99922380971808,2387.04923811767
"108","건물","복합",NA,126.004450258999,NA,"부천시","호현로","서울신학대학교",16.47,6.6,0.1363,"ratio",3.1443837814632,3754.35650246169
"109","건물","평면",NA,1599.17000101999,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",58.4908542797312,69837.3781197476
"110","건물","평면",NA,1035.35898556,NA,"부천시","호현로","서울신학대학교",24.14,6.6,0.1363,"ratio",37.8690392597249,45215.1784476404
"111","유휴부지","나지",NA,1858.53604653999,"주차장","부천시","호현로","서울신학대학교",50,10,0.1363,"ratio",92.9268023269995,110953.486856809
"112","건물","평면",NA,2478.98905451,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",90.6709026907142,103653.162537971
"113","건물","평면",NA,7095.71287143999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",259.531073812972,296690.732961513
"114","건물","평면",NA,1415.23271546,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",51.7632087139461,59174.6649376089
"115","건물","평면",NA,4901.19783077,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",179.265023689072,204932.189780874
"116","건물","평면",NA,3950.96719055999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",144.509618151694,165200.505278654
"117","건물","복합",NA,1018.30121224,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",25.4112438872618,29049.62578704
"118","건물","복합",NA,17183.9737086999,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",428.818253003466,490216.450468502
"119","건물","복합",NA,8736.53329185999,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",218.01621714687,249231.779117959
"120","주차장","노외",NA,644.962061791999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",32.2481030896,36865.3864899689
"121","주차장","노외",NA,609.615401324999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",30.4807700662499,34845.0067243356
"122","주차장","노외",NA,670.692233516999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",33.53461167585,38336.0973755982
"123","주차장","노외",NA,647.501059545999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",32.3750529773,37010.5130625898
"124","주차장","노외",NA,631.865255391999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",31.5932627695999,36116.7861329513
"125","주차장","노외",NA,651.029290603,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",32.55146453015,37212.1832215769
"126","주차장","노외",NA,629.320693842999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",31.46603469215,35971.341539372
"127","주차장","노외",NA,832.520146159999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",41.6260073079999,47586.0190343594
"128","주차장","노외",NA,941.858056824999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",47.09290284125,53835.6646700601
"129","주차장","노외",NA,1047.86187304999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",52.3930936524995,59894.7368016644
"130","주차장","노외",NA,994.205127176,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",49.7102563588,56827.770864253
"131","주차장","노외",NA,1028.65641344999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",51.4328206724995,58796.971936388
"132","주차장","노외",NA,757.953465824999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",37.89767329125,43323.8621530911
"133","주차장","노외",NA,505.08713875,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",25.2543569375,28870.2757638113
"134","주차장","노외",NA,273.328558256,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",13.6664279128,15623.1870613547
"135","주차장","노외",NA,191.16171969,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",9.5580859845,10926.6127357607
"136","주차장","노외",NA,361.178901559999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",18.058945078,20644.624834268
"137","건물","평면",NA,9152.59098896,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",334.762949202264,382694.308269045
"138","건물","평면",NA,2463.64038868999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",90.1095136105702,103011.393769332
"139","건물","평면",NA,2391.55220723999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",87.4728337617778,99997.1940997892
"140","건물","경사",NA,466.800266797,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",23.34001333985,26681.8364498497
"141","주차장","노외",NA,659.587000386999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",32.97935001935,37701.3333551205
"142","주차장","노외",NA,630.544701327999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",31.5272350663999,36041.3045832071
"143","주차장","노외",NA,634.500640943999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",31.7250320471999,36267.422135718
"144","주차장","노외",NA,670.110379837999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",33.5055189918999,38302.8392011602
"145","주차장","노외",NA,666.518858771,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",33.32594293855,38097.5514484916
"146","주차장","노외",NA,343.884084196999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",17.19420420985,19656.0703686163
"147","주차장","노외",NA,165.712375165999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",8.28561875829995,9471.95365211334
"148","주차장","노외",NA,507.323838975,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",25.36619194875,28998.123311972
"149","주차장","노외",NA,467.333022740999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",23.36665113705,26712.2882468528
"150","주차장","노외",NA,219.540874449,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",10.97704372245,12548.7368426304
"151","주차장","노외",NA,205.089422283,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",10.25447111415,11722.706288274
"152","주차장","노외",NA,212.235690841,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",10.61178454205,12131.1798527807
"153","주차장","노외",NA,206.141545067999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",10.3070772534,11782.8445745418
"154","주차장","노외",NA,119.640459211,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",5.98202296055,6838.52900804155
"155","주차장","노외",NA,636.222424060999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",31.81112120305,36365.8375369026
"156","주차장","노외",NA,211.719988566,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",10.5859994283,12101.702826444
"157","주차장","노외",NA,169.362973170999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",8.46814865854995,9680.61818348113
"158","주차장","노외",NA,423.418737444999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",21.17093687225,24202.1916136187
"159","건물","평면",NA,1466.91683798999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",53.6535946501187,61335.7163321227
"160","건물","평면",NA,520.054696902,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",19.0213945200216,21744.8777873983
